,acc_id,account_type,credit_turnover,debit_turnover,month_data_date,acc_status,min_balance,balance,rejected_payments,monthly_payment_scheduled,credit_limit,error_code
1,30033432,A,2000.0,4776.0,2021-06-03 00:00:00,D,-1451,1224,0,4,1000,
2,30033444,A,2286.0,5035.0,2021-06-03 00:00:00,D,4633,1251,0,4,1000,
3,24321252,A,4748.0,4212.0,2021-06-03 00:00:00,D,6094,4536,0,4,1000,
4,24321322,A,3334.0,5391.0,2021-06-03 00:00:00,D,4826,1943,0,4,1000,
5,12111453,A,5224.0,4481.0,2021-06-03 00:00:00,D,4058,4743,0,4,1000,
6,12111475,A,2120.0,2808.0,2021-06-03 00:00:00,D,1748,3312,0,4,1000,
7,47123112,A,2065.0,988.0,2021-06-03 00:00:00,D,678,5077,0,4,1000,
8,47123124,A,1092.0,4245.0,2021-06-03 00:00:00,D,2310,847,0,4,1000,
9,47123136,A,2132.0,4628.0,2021-06-03 00:00:00,D,-3277,1504,0,4,1000,
10,47123148,A,4799.0,2447.0,2021-06-03 00:00:00,D,-879,6352,0,4,1000,
11,47123160,A,5131.0,5788.0,2021-06-03 00:00:00,D,-6047,3343,0,4,1000,
12,47123172,A,3800.0,533.0,2021-06-03 00:00:00,D,-7220,7267,0,4,1000,
13,47123184,A,2263.0,1905.0,2021-06-03 00:00:00,D,-3108,4358,0,4,1000,
14,47123196,A,3386.0,3987.0,2021-06-03 00:00:00,D,1743,3399,0,4,1000,
16,47123220,A,23.0,4842.0,2021-06-03 00:00:00,D,-6865,-819,0,4,1000,
17,47123232,A,3729.0,5690.0,2021-06-03 00:00:00,D,1497,2039,0,4,1000,
18,47123244,A,1815.0,6836.0,2021-06-03 00:00:00,D,2382,-1021,0,4,1000,
19,47123256,A,1184.0,4490.0,2021-06-03 00:00:00,D,497,694,0,4,1000,
20,47123268,A,3513.0,5779.0,2021-06-03 00:00:00,D,-1771,1734,0,4,1000,
21,47123280,A,3749.0,1761.0,2021-06-03 00:00:00,D,10838,5988,0,4,1000,
22,47123292,A,647.0,624.0,2021-06-03 00:00:00,D,-9882,4023,0,4,1000,
23,47123304,A,5147.0,912.0,2021-06-03 00:00:00,D,9139,8235,0,4,1000,
24,47123316,A,1616.0,4505.0,2021-06-03 00:00:00,D,-1162,1111,0,4,1000,
25,47123328,A,2538.0,2990.0,2021-06-03 00:00:00,D,-8793,3548,0,4,1000,
26,47123340,A,2079.0,4559.0,2021-06-03 00:00:00,D,-4157,1520,0,4,1000,
27,47123352,A,4044.0,4479.0,2021-06-03 00:00:00,D,334,3565,0,4,1000,
28,47123364,A,2637.0,3532.0,2021-06-03 00:00:00,D,8038,3105,0,4,1000,
29,47123376,A,5521.0,5840.0,2021-06-03 00:00:00,D,4258,3681,0,4,1000,
30,47123388,A,4795.0,2369.0,2021-06-03 00:00:00,D,5389,6426,0,4,1000,
31,47123400,A,5840.0,4374.0,2021-06-03 00:00:00,D,6215,5466,0,4,1000,
32,47123412,A,3938.0,5906.0,2021-06-03 00:00:00,D,5825,2032,0,4,1000,
33,47123424,A,5207.0,2690.0,2021-06-03 00:00:00,D,7804,6517,0,4,1000,
34,47123436,A,4370.0,2449.0,2021-06-03 00:00:00,D,11832,5921,0,4,1000,
35,47123448,A,4197.0,542.0,2021-06-03 00:00:00,D,7916,7655,0,4,1000,
36,47123460,A,5967.0,3088.0,2021-06-03 00:00:00,D,5618,6879,0,4,1000,
37,47123472,A,2492.0,4609.0,2021-06-03 00:00:00,D,1185,1883,0,4,1000,
38,47123484,A,49.0,5145.0,2021-06-03 00:00:00,D,-6867,-1096,0,4,1000,
39,47123496,A,2619.0,6638.0,2021-06-03 00:00:00,D,-620,-19,0,4,1000,
40,47123508,A,4678.0,745.0,2021-06-03 00:00:00,D,7346,7933,0,4,1000,
41,47123520,A,4810.0,1952.0,2021-06-03 00:00:00,D,9615,6858,0,4,1000,
42,47123532,A,3203.0,6489.0,2021-06-03 00:00:00,D,3271,714,0,4,1000,
43,47123544,A,4349.0,6511.0,2021-06-03 00:00:00,D,175,1838,0,4,1000,
44,47123556,A,3746.0,1606.0,2021-06-03 00:00:00,D,5713,6140,0,4,1000,
45,47123568,A,2148.0,4087.0,2021-06-03 00:00:00,D,-5872,2061,0,4,1000,
46,47123580,A,5276.0,4457.0,2021-06-03 00:00:00,D,1965,4819,0,4,1000,
47,47123592,A,3945.0,4510.0,2021-06-03 00:00:00,D,-4723,3435,0,4,1000,
48,47123604,A,3803.0,6727.0,2021-06-03 00:00:00,D,-3822,1076,0,4,1000,
49,47123616,A,4367.0,4904.0,2021-06-03 00:00:00,D,5341,3463,0,4,1000,
50,47123628,A,2584.0,761.0,2021-06-03 00:00:00,D,1703,5823,0,4,1000,
51,47123640,A,4368.0,119.0,2021-06-03 00:00:00,D,8876,8249,0,4,1000,
52,47123652,A,3554.0,5077.0,2021-06-03 00:00:00,D,4516,2477,0,4,1000,
53,47123664,A,1560.0,5729.0,2021-06-03 00:00:00,D,681,-169,0,4,1000,
54,47123676,A,5663.0,776.0,2021-06-03 00:00:00,D,7670,8887,0,4,1000,
55,47123688,A,1665.0,4365.0,2021-06-03 00:00:00,D,2631,1300,0,4,1000,
56,47123700,A,683.0,2055.0,2021-06-03 00:00:00,D,2177,2628,0,4,1000,
57,47123712,A,277.0,104.0,2021-06-03 00:00:00,D,4168,4173,0,4,1000,
58,47123724,A,2673.0,1011.0,2021-06-03 00:00:00,D,2481,5662,0,4,1000,
59,47123736,A,1220.0,226.0,2021-06-03 00:00:00,D,5214,4994,0,4,1000,
60,47123748,A,5156.0,530.0,2021-06-03 00:00:00,D,8094,8626,0,4,1000,
61,47123760,A,3857.0,4918.0,2021-06-03 00:00:00,D,98,2939,0,4,1000,
62,47123772,A,2603.0,2100.0,2021-06-03 00:00:00,D,-7709,4503,0,4,1000,
63,47123784,A,5904.0,4620.0,2021-06-03 00:00:00,D,840,5284,0,4,1000,
64,47123796,A,4796.0,4615.0,2021-06-03 00:00:00,D,489,4181,0,4,1000,
65,47123808,A,5513.0,6804.0,2021-06-03 00:00:00,D,-7573,2709,0,4,1000,
66,47123820,A,5342.0,5855.0,2021-06-03 00:00:00,D,-1932,3487,0,4,1000,
67,47123832,A,3846.0,180.0,2021-06-03 00:00:00,D,2716,7666,0,4,1000,
68,47123844,A,2862.0,1796.0,2021-06-03 00:00:00,D,13436,5066,0,4,1000,
69,47123856,A,1508.0,6327.0,2021-06-03 00:00:00,D,-1869,-819,0,4,1000,
70,47123868,A,2434.0,2194.0,2021-06-03 00:00:00,D,-8,4240,0,4,1000,
71,47123880,A,1593.0,2596.0,2021-06-03 00:00:00,D,1586,2997,0,4,1000,
72,47123892,A,3149.0,2479.0,2021-06-03 00:00:00,D,8498,4670,0,4,1000,
73,47123904,A,5103.0,1161.0,2021-06-03 00:00:00,D,11798,7942,0,4,1000,
74,47123916,A,2887.0,1411.0,2021-06-03 00:00:00,D,6756,5476,0,4,1000,
75,47123928,A,3855.0,1795.0,2021-06-03 00:00:00,D,6406,6060,0,4,1000,
76,47123940,A,4625.0,3722.0,2021-06-03 00:00:00,D,6211,4903,0,4,1000,
77,47123952,A,1038.0,6551.0,2021-06-03 00:00:00,D,-1984,-1513,0,4,1000,
78,47123964,A,3832.0,6806.0,2021-06-03 00:00:00,D,-1744,1026,0,4,1000,
79,47123976,A,748.0,4472.0,2021-06-03 00:00:00,D,4137,276,0,4,1000,
80,47123988,A,2819.0,6152.0,2021-06-03 00:00:00,D,-6200,667,0,4,1000,
81,47124000,A,4736.0,3591.0,2021-06-03 00:00:00,D,5486,5145,0,4,1000,
82,47124012,A,4471.0,3287.0,2021-06-03 00:00:00,D,-1655,5184,0,4,1000,
83,47124024,A,3250.0,2862.0,2021-06-03 00:00:00,D,-669,4388,0,4,1000,
84,47124036,A,1966.0,4703.0,2021-06-03 00:00:00,D,294,1263,0,4,1000,
85,47124048,A,468.0,5484.0,2021-06-03 00:00:00,D,39,-1016,0,4,1000,
86,47124060,A,2904.0,6729.0,2021-06-03 00:00:00,D,1312,175,0,4,1000,
87,47124072,A,5620.0,496.0,2021-06-03 00:00:00,D,13569,9124,0,4,1000,
88,47124084,A,3003.0,2399.0,2021-06-03 00:00:00,D,5208,4604,0,4,1000,
89,47124096,A,1065.0,5516.0,2021-06-03 00:00:00,D,-8443,-451,0,4,1000,
90,47124108,A,5667.0,4446.0,2021-06-03 00:00:00,D,-1173,5221,0,4,1000,
91,47124120,A,5966.0,6871.0,2021-06-03 00:00:00,D,272,3095,0,4,1000,
92,47124132,A,688.0,3592.0,2021-06-03 00:00:00,D,-865,1096,0,4,1000,
93,47124144,A,5214.0,3919.0,2021-06-03 00:00:00,D,7038,5295,0,4,1000,
94,47124156,A,4356.0,678.0,2021-06-03 00:00:00,D,5393,7678,0,4,1000,
95,47124168,A,4203.0,6405.0,2021-06-03 00:00:00,D,-536,1798,0,4,1000,
96,47124180,A,232.0,3030.0,2021-06-03 00:00:00,D,696,1202,0,4,1000,
97,47124192,A,4768.0,6368.0,2021-06-03 00:00:00,D,1,2400,0,4,1000,
98,47124204,A,1498.0,4399.0,2021-06-03 00:00:00,D,-2976,1099,0,4,1000,
99,47124216,A,3011.0,6515.0,2021-06-03 00:00:00,D,-1237,496,0,4,1000,
100,47124228,A,3482.0,4257.0,2021-06-03 00:00:00,D,3150,3225,0,4,1000,
101,47124240,A,1762.0,6114.0,2021-06-03 00:00:00,D,-1442,-352,0,4,1000,
102,47124252,A,4907.0,2127.0,2021-06-03 00:00:00,D,8417,6780,0,4,1000,
103,47124264,A,2116.0,575.0,2021-06-03 00:00:00,D,7160,5541,0,4,1000,
104,47124276,A,3286.0,6605.0,2021-06-03 00:00:00,D,-5822,681,0,4,1000,
105,47124288,A,8.0,5786.0,2021-06-03 00:00:00,D,-3089,-1778,0,4,1000,
106,47124300,A,3870.0,4497.0,2021-06-03 00:00:00,D,3876,3373,0,4,1000,
107,47124312,A,653.0,2034.0,2021-06-03 00:00:00,D,1269,2619,0,4,1000,
108,47124324,A,3852.0,529.0,2021-06-03 00:00:00,D,6263,7323,0,4,1000,
109,47124336,A,2660.0,309.0,2021-06-03 00:00:00,D,8850,6351,0,4,1000,
110,47124348,A,2837.0,3253.0,2021-06-03 00:00:00,D,1582,3584,0,4,1000,
111,47124360,A,261.0,708.0,2021-06-03 00:00:00,D,-61,3553,0,4,1000,
112,47124372,A,237.0,4198.0,2021-06-03 00:00:00,D,871,39,0,4,1000,
113,47124384,A,4038.0,4340.0,2021-06-03 00:00:00,D,-1322,3698,0,4,1000,
114,47124396,A,2902.0,756.0,2021-06-03 00:00:00,D,14580,6146,0,4,1000,
115,47124408,A,5004.0,6534.0,2021-06-03 00:00:00,D,1703,2470,0,4,1000,
116,47124420,A,4600.0,3262.0,2021-06-03 00:00:00,D,-8313,5338,0,4,1000,
117,47124432,A,4359.0,3110.0,2021-06-03 00:00:00,D,4724,5249,0,4,1000,
118,47124444,A,5476.0,4177.0,2021-06-03 00:00:00,D,3395,5299,0,4,1000,
119,47124456,A,1914.0,3449.0,2021-06-03 00:00:00,D,918,2465,0,4,1000,
120,47124468,A,723.0,4728.0,2021-06-03 00:00:00,D,-945,-5,0,4,1000,
121,47124480,A,2806.0,3320.0,2021-06-03 00:00:00,D,3257,3486,0,4,1000,
122,47124492,A,5596.0,6515.0,2021-06-03 00:00:00,D,4149,3081,0,4,1000,
123,47124504,A,4590.0,2689.0,2021-06-03 00:00:00,D,6513,5901,0,4,1000,
124,47124516,A,5032.0,4441.0,2021-06-03 00:00:00,D,1668,4591,0,4,1000,
125,47124528,A,4748.0,6926.0,2021-06-03 00:00:00,D,2350,1822,0,4,1000,
126,47124540,A,4741.0,630.0,2021-06-03 00:00:00,D,13565,8111,0,4,1000,
127,47124552,A,4086.0,4476.0,2021-06-03 00:00:00,D,-6016,3610,0,4,1000,
128,47124564,A,3920.0,5021.0,2021-06-03 00:00:00,D,3364,2899,0,4,1000,
129,47124576,A,2558.0,2019.0,2021-06-03 00:00:00,D,3386,4539,0,4,1000,
130,47124588,A,3869.0,4976.0,2021-06-03 00:00:00,D,3412,2893,0,4,1000,
131,47124600,A,1846.0,3527.0,2021-06-03 00:00:00,D,1722,2319,0,4,1000,
132,47124612,A,3035.0,1655.0,2021-06-03 00:00:00,D,6514,5380,0,4,1000,
133,47124624,A,167.0,5638.0,2021-06-03 00:00:00,D,-6076,-1471,0,4,1000,
134,47124636,A,3178.0,14.0,2021-06-03 00:00:00,D,12392,7164,0,4,1000,
135,47124648,A,5983.0,6729.0,2021-06-03 00:00:00,D,-199,3254,0,4,1000,
136,47124660,A,1310.0,4109.0,2021-06-03 00:00:00,D,2910,1201,0,4,1000,
137,47124672,A,2956.0,762.0,2021-06-03 00:00:00,D,7313,6194,0,4,1000,
138,47124684,A,746.0,2837.0,2021-06-03 00:00:00,D,-6718,1909,0,4,1000,
139,47124696,A,1088.0,5194.0,2021-06-03 00:00:00,D,4240,-106,0,4,1000,
140,47124708,A,1427.0,6168.0,2021-06-03 00:00:00,D,-4919,-741,0,4,1000,
141,47124720,A,5433.0,6916.0,2021-06-03 00:00:00,D,452,2517,0,4,1000,
142,47124732,A,5121.0,3050.0,2021-06-03 00:00:00,D,9017,6071,0,4,1000,
143,47124744,A,3666.0,5846.0,2021-06-03 00:00:00,D,-1787,1820,0,4,1000,
144,47124756,A,2973.0,2992.0,2021-06-03 00:00:00,D,4141,3981,0,4,1000,
145,47124768,A,966.0,1191.0,2021-06-03 00:00:00,D,1985,3775,0,4,1000,
146,47124780,A,211.0,5969.0,2021-06-03 00:00:00,D,-4594,-1758,0,4,1000,
147,47124792,A,2355.0,2858.0,2021-06-03 00:00:00,D,-4648,3497,0,4,1000,
148,47124804,A,1702.0,6980.0,2021-06-03 00:00:00,D,739,-1278,0,4,1000,
149,47124816,A,2871.0,1101.0,2021-06-03 00:00:00,D,6301,5770,0,4,1000,
150,47124828,A,5654.0,6713.0,2021-06-03 00:00:00,D,-2393,2941,0,4,1000,
151,47124840,A,2687.0,6903.0,2021-06-03 00:00:00,D,-3821,-216,0,4,1000,
152,47124852,A,666.0,1240.0,2021-06-03 00:00:00,D,2261,3426,0,4,1000,
153,47124864,A,1059.0,3314.0,2021-06-03 00:00:00,D,-5973,1745,0,4,1000,
154,47124876,A,2067.0,2012.0,2021-06-03 00:00:00,D,6957,4055,0,4,1000,
155,47124888,A,1913.0,1861.0,2021-06-03 00:00:00,D,3186,4052,0,4,1000,
156,47124900,A,5653.0,5689.0,2021-06-03 00:00:00,D,6059,3964,0,4,1000,
157,47124912,A,4525.0,2447.0,2021-06-03 00:00:00,D,-8822,6078,0,4,1000,
158,47124924,A,5349.0,6274.0,2021-06-03 00:00:00,D,1385,3075,0,4,1000,
159,47124936,A,917.0,1619.0,2021-06-03 00:00:00,D,3293,3298,0,4,1000,
160,47124948,A,610.0,470.0,2021-06-03 00:00:00,D,9452,4140,0,4,1000,
161,47124960,A,3136.0,5547.0,2021-06-03 00:00:00,D,1949,1589,0,4,1000,
162,47124972,A,4516.0,6391.0,2021-06-03 00:00:00,D,252,2125,0,4,1000,
163,47124984,A,5541.0,689.0,2021-06-03 00:00:00,D,6443,8852,0,4,1000,
164,47124996,A,381.0,2579.0,2021-06-03 00:00:00,D,-4147,1802,0,4,1000,
165,47125008,A,4852.0,4480.0,2021-06-03 00:00:00,D,7852,4372,0,4,1000,
166,47125020,A,2784.0,5367.0,2021-06-03 00:00:00,D,1391,1417,0,4,1000,
167,47125032,A,883.0,5388.0,2021-06-03 00:00:00,D,-573,-505,0,4,1000,
168,47125044,A,5813.0,3991.0,2021-06-03 00:00:00,D,2794,5822,0,4,1000,
169,47125056,A,234.0,1007.0,2021-06-03 00:00:00,D,-861,3227,0,4,1000,
171,47125080,A,4774.0,6123.0,2021-06-03 00:00:00,D,1821,2651,0,4,1000,
172,47125092,A,5762.0,2692.0,2021-06-03 00:00:00,D,3727,7070,0,4,1000,
173,47125104,A,976.0,5795.0,2021-06-03 00:00:00,D,-3212,-819,0,4,1000,
174,47125116,A,5080.0,5066.0,2021-06-03 00:00:00,D,6890,4014,0,4,1000,
175,47125128,A,779.0,4094.0,2021-06-03 00:00:00,D,-4104,685,0,4,1000,
176,47125140,A,4107.0,3070.0,2021-06-03 00:00:00,D,7760,5037,0,4,1000,
177,47125152,A,1790.0,2756.0,2021-06-03 00:00:00,D,3831,3034,0,4,1000,
178,47125164,A,5801.0,350.0,2021-06-03 00:00:00,D,8468,9451,0,4,1000,
179,47125176,A,3986.0,1044.0,2021-06-03 00:00:00,D,8060,6942,0,4,1000,
180,47125188,A,5983.0,3635.0,2021-06-03 00:00:00,D,6309,6348,0,4,1000,
181,47125200,A,578.0,6964.0,2021-06-03 00:00:00,D,-11233,-2386,0,4,1000,
182,47125212,A,5560.0,2331.0,2021-06-03 00:00:00,D,9777,7229,0,4,1000,
